Date,Value
2018-12-31,4460.77128495
2017-12-31,4302.5351262
2016-12-31,4347.91081414
2015-12-31,4348.66943998
2014-12-31,4363.32640725
2013-12-31,4330.29288754
2012-12-31,4310.56920219
2011-12-31,4363.3771552
2010-12-31,4394.25098482
2009-12-31,4206.49336059
2008-12-31,4390.10611698
2007-12-31,4431.83702117
2006-12-31,4330.95164074
2005-12-31,4322.78663223
2004-12-31,4231.68274735
2003-12-31,4137.97884161
2002-12-31,4111.7755382
2001-12-31,3984.4678897
2000-12-31,4052.25310643
1999-12-31,3936.09771197
1998-12-31,3855.80839495
1997-12-31,3716.37732944
1996-12-31,3663.38623917
1995-12-31,3567.33119667
1994-12-31,3458.52608073
1993-12-31,3404.67787292
1992-12-31,3284.38993461
1991-12-31,3270.72440211
1990-12-31,3232.77964876
1989-12-31,3155.44967914
1988-12-31,2914.44581468
1987-12-31,2772.20526586
1986-12-31,2676.11315476
1985-12-31,2657.15007113
