Year,Civillian_Non_Institutional,Civillian_labour_force,P_CLF,Not_in_labour_force,P_NLF,Employed,P_EMP,Unemployed,P_UEMP,Employed_in_Agriculture,P_EIA,Employed_not_in_Agriculture,P_ENIA
1949,"103,994","61,286",58.93,"42,708",41.07,"57,651",94.07,"3,637",5.93,"7,658",13.28,"49,993",86.72
1950,"104,995","62,208",59.25,"42,787",40.75,"58,918",94.71,"3,288",5.29,"7,160",12.15,"51,758",87.85
1951,"104,621","62,017",59.28,"42,604",40.72,"59,961",96.68,"2,055",3.31,"6,726",11.22,"53,235",88.78
1952,"105,231","62,138",59.05,"43,093",40.95,"60,250",96.96,"1,883",3.03,"6,500",10.79,"53,749",89.21
1953,"107,056","63,015",58.86,"44,041",41.14,"61,179",97.09,"1,834",2.91,"6,260",10.23,"54,919",89.77
1954,"108,321","63,643",58.75,"44,678",41.25,"60,109",94.45,"3,532",5.55,"6,205",10.32,"53,904",89.68
1955,"109,683","65,023",59.28,"44,660",40.72,"62,170",95.61,"2,852",4.39,"6,450",10.37,"55,722",89.63
1956,"110,954","66,552",59.98,"44,402",40.02,"63,799",95.86,"2,750",4.13,"6,283",9.85,"57,514",90.15
1957,"112,265","66,929",59.62,"45,336",40.38,"64,071",95.73,"2,859",4.27,"5,947",9.28,"58,123",90.72
1958,"113,727","67,639",59.47,"46,088",40.53,"63,036",93.19,"4,602",6.8,"5,586",8.86,"57,450",91.14
1959,"115,329","68,369",59.28,"46,960",40.72,"64,630",94.53,"3,740",5.47,"5,565",8.61,"59,065",91.39
1960,"117,245","69,628",59.39,"47,617",40.61,"65,778",94.47,"3,852",5.53,"5,458",8.3,"60,318",91.70
1961,"118,771","70,459",59.32,"48,312",40.68,"65,746",93.31,"4,714",6.69,"5,200",7.91,"60,546",92.09
1962,"120,153","70,614",58.77,"49,539",41.23,"66,702",94.46,"3,911",5.54,"4,944",7.41,"61,759",92.59
1963,"122,416","71,833",58.68,"50,583",41.32,"67,762",94.33,"4,070",5.67,"4,687",6.92,"63,076",93.08
1964,"124,485","73,091",58.71,"51,394",41.29,"69,305",94.82,"3,786",5.18,"4,523",6.53,"64,782",93.47
1965,"126,513","74,455",58.85,"52,058",41.15,"71,088",95.48,"3,366",4.52,"4,361",6.13,"66,726",93.86
1966,"128,058","75,770",59.17,"52,288",40.83,"72,895",96.21,"2,875",3.79,"3,979",5.46,"68,915",94.54
1967,"129,874","77,347",59.56,"52,527",40.44,"74,372",96.15,"2,975",3.85,"3,844",5.17,"70,527",94.83
1968,"132,028","78,737",59.64,"53,291",40.36,"75,920",96.42,"2,817",3.58,"3,817",5.03,"72,103",94.97
1969,"134,335","80,734",60.1,"53,602",39.9,"77,902",96.49,"2,832",3.51,"3,606",4.63,"74,296",95.37
1970,"137,085","82,771",60.38,"54,315",39.62,"78,678",95.06,"4,093",4.94,"3,463",4.4,"75,215",95.60
1971,"140,216","84,382",60.18,"55,834",39.82,"79,367",94.06,"5,016",5.94,"3,394",4.28,"75,972",95.72
1972,"144,126","87,034",60.39,"57,091",39.61,"82,153",94.39,"4,882",5.61,"3,484",4.24,"78,669",95.76
1973,"147,096","89,429",60.8,"57,667",39.2,"85,064",95.12,"4,365",4.88,"3,470",4.08,"81,594",95.92
1974,"150,120","91,949",61.25,"58,171",38.75,"86,794",94.39,"5,156",5.61,"3,515",4.05,"83,279",95.95
1975,"153,153","93,775",61.23,"59,378",38.77,"85,846",91.54,"7,929",8.46,"3,408",3.97,"82,438",96.03
1976,"156,150","96,158",61.58,"59,991",38.42,"88,752",92.3,"7,406",7.7,"3,331",3.75,"85,421",96.25
1977,"159,033","99,009",62.26,"60,025",37.74,"92,017",92.94,"6,991",7.06,"3,283",3.57,"88,734",96.43
